id_zone;INSEE_C;LIBGEO;EPCI;DEP;REG;loypredm2;lwr.IPm2;upr.IPm2;TYPPRED;nbobs_com;nbobs_mail;R2_adj;Type_de_logement
1693;91001;Abbeville-la-Riviere;200017846;91;11;13,97079268;11,89133445;16,41388937;maille;4;580;0,882653445;Appartement
461;91001;Abbeville-la-Riviere;200017846;91;11;14,51934312;12,03056599;17,52297646;maille;4;481;0,659431141;Appartement
1330;91001;Abbeville-la-Riviere;200017846;91;11;9,922352732;7,83623124;12,56383084;maille;3;478;0,698402296;Maison
1284;91001;Abbeville-la-Riviere;200017846;91;11;12,21435832;10,67483732;13,97590845;maille;0;482;0,683997574;Appartement
2714;94001;Ablon-sur-Seine;200054781;94;11;17,97527711;15,19685069;21,26168071;commune;506;506;0,872493317;Appartement
1936;94001;Ablon-sur-Seine;200054781;94;11;20,90028177;17,75885276;24,59740975;commune;270;3043;0,744417122;Appartement
1940;94001;Ablon-sur-Seine;200054781;94;11;17,23436311;12,05064128;24,64792247;maille;36;702;0,710783111;Maison
1883;94001;Ablon-sur-Seine;200054781;94;11;16,62002874;14,24542237;19,3904644;commune;236;2034;0,715621159;Appartement
509;94002;Alfortville;200054781;94;11;21,00515337;17,07658481;25,83751218;commune;4614;4614;0,836203637;Appartement
1972;94002;Alfortville;200054781;94;11;23,77616381;19,54439109;28,92420454;commune;3267;3267;0,692647712;Appartement
2242;94002;Alfortville;200054781;94;11;19,4324088;13,36229907;28,25999551;maille;54;506;0,800356786;Maison
2110;94002;Alfortville;200054781;94;11;19,53486665;15,67909637;24,33883981;commune;1338;1338;0,632031055;Appartement
1293;91016;Angerville;200017846;91;11;13,27250268;11,29200125;15,60036379;commune;548;861;0,842402314;Appartement
348;91016;Angerville;200017846;91;11;15,33310167;13,06498258;17,99497284;commune;332;494;0,743671381;Appartement
415;91016;Angerville;200017846;91;11;10,93054403;8,848399044;13,50264518;commune;212;479;0,803393341;Maison
76;91016;Angerville;200017846;91;11;11,51104325;9,670988345;13,70119702;commune;221;775;0,696130302;Appartement
2703;91017;Angervilliers;249100074;91;11;16,20321114;13,86633815;18,93391379;maille;46;558;0,879224247;Appartement
