id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,annee_mutation,prix_m2,mois_mutation,trimestre_mutation,categorie_surface,categorie_prix_m2,loyer_m2_mois,loyer_m2_annuel,loyer_annuel_estime,rendement_brut,loyer_ajuste_annee,segment_marche,niveau_loyer,segment_prix,type_bien_estime,cash_on_cash,score_secteur,score_rendement_indiv,score_surface,score_prix_relatif,score_individuel,score_final,opportunite_finale
2024-1091487,2024-07-25,1.0,Vente,44280000.0,1.0,,RUE DES VERTS BUISSONS,0263,91830.0,91179.0,Le Coudray-Montceaux,91,,,911790000C0477,,,,,,,,,,,,,0.0,4.0,Local industriel. commercial ou assimilé,15431.0,0.0,S,sols,,,67771.0,2.468575,48.56748,2024,2869.548311839803,7,3,Très grand (>120m²),Modéré (2000-4000€/m²),16.5,198.0,3055338.0,6.900040650406504,16.5,Marché locatif fort,Cher,Moyen,Grande maison,6.662136788844121,5.5,5.4,10.0,8.7,7.8,6.4,Bon
2024-1086067,2024-02-04,1.0,Vente,9500000.0,8.0,,IMP JACQUELINE AURIOL,0915,91380.0,91161.0,Chilly-Mazarin,91,,,91161000AB0465,,,,,,,,,,,,,0.0,4.0,Local industriel. commercial ou assimilé,5240.0,0.0,AG,terrains d'agrément,,,8846.0,2.302841,48.716746,2024,1812.9770992366407,2,1,Très grand (>120m²),Abordable (<2000€/m²),16.5,198.0,1037520.0,10.921263157894737,16.5,Marché locatif fort,Cher,Abordable,Grande maison,26.768249326285282,5.5,9.0,3.4,9.2,7.4,6.3,Bon
2024-1086067,2024-02-04,1.0,Vente,9500000.0,8.0,,IMP JACQUELINE AURIOL,0915,91380.0,91161.0,Chilly-Mazarin,91,,,91161000AB0465,,,,,,,,,,,,,0.0,4.0,Local industriel. commercial ou assimilé,5240.0,0.0,S,sols,,,1000.0,2.302841,48.716746,2024,1812.9770992366407,2,1,Très grand (>120m²),Abordable (<2000€/m²),16.5,198.0,1037520.0,10.921263157894737,16.5,Marché locatif fort,Cher,Abordable,Grande maison,26.768249326285282,5.5,9.0,3.4,9.2,7.4,6.3,Bon
2024-1083723,2024-02-02,1.0,Vente,3500000.0,14.0,,AV DES IRIS,0950,91420.0,91432.0,Morangis,91,,,914320000E0557,,,,,,,,,,,,,0.0,4.0,Local industriel. commercial ou assimilé,2104.0,0.0,S,sols,,,409.0,2.342318,48.702225,2024,1663.4980988593156,2,1,Très grand (>120m²),Abordable (<2000€/m²),16.5,198.0,416592.0,11.90262857142857,16.5,Marché locatif fort,Cher,Abordable,Grande maison,31.675076393954456,5.5,9.9,1.4,9.3,7.2,6.2,Bon
2024-1086785,2024-04-24,1.0,Vente,1300000.0,6.0,,RUE DU LANGUEDOC,1659,91220.0,91103.0,Brétigny-sur-Orge,91,,,91103000BB0041,,,,,,,,,,,,,0.0,4.0,Local industriel. commercial ou assimilé,772.0,0.0,S,sols,,,1890.0,2.302837,48.591174,2024,1683.937823834197,4,2,Très grand (>120m²),Abordable (<2000€/m²),16.5,198.0,152856.0,11.758153846153846,16.5,Marché locatif fort,Cher,Abordable,Grande maison,30.95270276758083,5.5,9.8,0.5,9.3,6.9,6.1,Bon
2024-1096061,2024-08-11,1.0,Vente,6500000.0,3.0,,RUE DE BOURGOGNE,0196,91220.0,91103.0,Brétigny-sur-Orge,91,,,91103000BB0054,,,,,,,,,,,,,0.0,4.0,Local industriel. commercial ou assimilé,3476.0,0.0,S,sols,,,7450.0,2.304905,48.591,2024,1869.9654775604145,8,3,Très grand (>120m²),Abordable (<2000€/m²),16.5,198.0,688248.0,10.588430769230769,16.5,Marché locatif fort,Cher,Abordable,Grande maison,25.104087382965446,5.5,8.7,2.2,9.2,6.9,6.1,Bon
2024-1096313,2024-11-20,1.0,Vente,3800000.0,5001.0,,RUE DES VIGNES,0265,91590.0,91080.0,Boissy-le-Cutté,91,,,910800000B0329,,,,,,,,,,,,,0.0,4.0,Local industriel. commercial ou assimilé,2200.0,0.0,S,sols,,,19607.0,2.287453,48.476062,2024,1727.2727272727273,11,4,Très grand (>120m²),Abordable (<2000€/m²),16.5,198.0,435600.0,11.463157894736842,16.5,Marché locatif fort,Cher,Abordable,Grande maison,29.477723010495804,5.5,9.5,1.4,9.3,7.0,6.1,Bon
2024-1096858,2024-09-12,1.0,Vente,1400000.0,4.0,,RUE DES HIRONDELLES,2010,91700.0,91549.0,Sainte-Geneviève-des-Bois,91,,,91549000AS0046,,,,,,,,,,,,,0.0,4.0,Local industriel. commercial ou assimilé,832.0,0.0,S,sols,,,2004.0,2.342818,48.622939,2024,1682.6923076923076,9,3,Très grand (>120m²),Abordable (<2000€/m²),16.5,198.0,164736.0,11.766857142857143,16.5,Marché locatif fort,Cher,Abordable,Grande maison,30.996219251097312,5.5,9.8,0.5,9.3,6.9,6.1,Bon
2024-1083044,2024-09-01,1.0,Vente,285000.0,7.0,,RUE DES SABLONS,0070,91790.0,91085.0,Boissy-sous-Saint-Yon,91,,,91085000AO0078,,,,,,,,,,,,,0.0,1.0,Maison,172.0,9.0,S,sols,,,742.0,2.208594,48.555173,2024,1656.9767441860463,9,3,Très grand (>120m²),Abordable (<2000€/m²),16.5,198.0,34056.0,11.949473684210526,16.5,Marché locatif fort,Cher,Abordable,Grande maison,31.909301957864226,5.5,10.0,0.1,9.3,6.8,6.0,Bon
2024-1083219,2024-08-01,1.0,Vente,465000.0,7.0,,RUE CONDORCET,0200,91350.0,91286.0,Grigny,91,,,91286000AT0144,,,101.0,59.0,106.0,61.1,107.0,62.3,108.0,112.4,206.0,,7.0,4.0,Local industriel. commercial ou assimilé,280.0,0.0,,,,,,2.376385,48.646157,2024,1660.7142857142858,8,3,Très grand (>120m²),Abordable (<2000€/m²),16.5,198.0,55440.0,11.92258064516129,16.5,Marché locatif fort,Cher,Abordable,Grande maison,31.774836762618047,5.5,9.9,0.2,9.3,6.8,6.0,Bon
