annee_mutation,mois_mutation,code_departement,prix_m2_moyen,nb_transactions,volume_total
2024,1,91.0,4161.23,984,308956184.7
2024,1,94.0,7676.79,1703,790970067.48
2024,2,91.0,3630.59,1074,319271212.59
2024,2,94.0,5918.93,905,372393628.83
2024,3,91.0,4122.89,1112,454488428.83
2024,3,94.0,6705.79,1044,450766693.87
2024,4,91.0,4336.33,1160,347875314.73
2024,4,94.0,6133.53,1073,471609692.57
2024,5,91.0,4230.14,1334,376295422.93
2024,5,94.0,6777.36,1334,625218134.32
2024,6,91.0,4256.03,1373,444344752.48
2024,6,94.0,6511.15,1311,587241621.95
2024,7,91.0,4011.51,1265,748101163.82
2024,7,94.0,6980.48,1259,600751481.43
2024,8,91.0,3790.7,1047,340768298.33
2024,8,94.0,6058.36,964,357206305.2
2024,9,91.0,5294.91,1435,575721839.47
2024,9,94.0,7008.51,1380,619767401.96
2024,10,91.0,3931.57,1128,461440925.35
2024,10,94.0,6620.13,1181,533799282.27
2024,11,91.0,5130.05,1195,452238705.72
2024,11,94.0,7427.05,1053,552844884.24
2024,12,91.0,4623.29,1542,593891856.93
2024,12,94.0,7216.38,1571,907005554.81
